deadline,time_left,deadline_status,purchaseTypeId,lotState,id,url
2026-09-07T11:03:00.743370+03:00,осталось 2 д 23 ч 4 мин,normal,1,2,b168f73e-00e7-4b3e-bcb3-3fa113c80c34,https://agregatoreat.ru/purchases/announcement/b168f73e-00e7-4b3e-bcb3-3fa113c80c34/info
2026-09-07T11:07:00.696506+03:00,осталось 2 д 23 ч 8 мин,normal,2,2,9e6d4717-1a6a-4441-87fd-e0ed1bc08cf9,https://agregatoreat.ru/purchases/announcement/9e6d4717-1a6a-4441-87fd-e0ed1bc08cf9/info
2026-09-07T11:12:00.375061+03:00,осталось 2 д 23 ч 13 мин,normal,1,2,53050991-1650-455d-93db-a5827a9ea4e6,https://agregatoreat.ru/purchases/announcement/53050991-1650-455d-93db-a5827a9ea4e6/info
2026-09-07T11:12:00.745956+03:00,осталось 2 д 23 ч 13 мин,normal,1,2,22f417bc-12bc-4390-96bb-3df43a796006,https://agregatoreat.ru/purchases/announcement/22f417bc-12bc-4390-96bb-3df43a796006/info
2026-09-07T11:12:00.759627+03:00,осталось 2 д 23 ч 13 мин,normal,1,2,4ab7af97-c1cd-4724-a7aa-10012f88510f,https://agregatoreat.ru/purchases/announcement/4ab7af97-c1cd-4724-a7aa-10012f88510f/info
2026-09-07T11:13:00.700991+03:00,осталось 2 д 23 ч 14 мин,normal,1,2,eb779ca6-21ac-4881-8709-a757b387ba7b,https://agregatoreat.ru/purchases/announcement/eb779ca6-21ac-4881-8709-a757b387ba7b/info
2026-09-07T11:17:00.228868+03:00,осталось 2 д 23 ч 18 мин,normal,1,2,fb287372-5fa0-488b-998a-fc11c186ef24,https://agregatoreat.ru/purchases/announcement/fb287372-5fa0-488b-998a-fc11c186ef24/info
2026-09-07T11:23:00.332651+03:00,осталось 2 д 23 ч 24 мин,normal,2,2,7d096297-15a5-425d-bbd3-3938d77c9b7f,https://agregatoreat.ru/purchases/announcement/7d096297-15a5-425d-bbd3-3938d77c9b7f/info
2026-09-07T11:23:00.748430+03:00,осталось 2 д 23 ч 24 мин,normal,1,2,514e2d2a-d9a1-42fe-90ed-614e2a73ca29,https://agregatoreat.ru/purchases/announcement/514e2d2a-d9a1-42fe-90ed-614e2a73ca29/info
2026-09-07T11:24:00.856203+03:00,осталось 2 д 23 ч 25 мин,normal,2,2,c9ebfbf5-b077-4371-ac68-2742a33fb72f,https://agregatoreat.ru/purchases/announcement/c9ebfbf5-b077-4371-ac68-2742a33fb72f/info
2026-09-07T11:32:00.740469+03:00,осталось 2 д 23 ч 33 мин,normal,1,2,85e6ad39-0de6-4768-a0d9-fcd3c18e7131,https://agregatoreat.ru/purchases/announcement/85e6ad39-0de6-4768-a0d9-fcd3c18e7131/info
2026-09-07T11:34:00.190186+03:00,осталось 2 д 23 ч 35 мин,normal,1,2,d18d5104-9ac3-4df2-afcc-1c77634c4403,https://agregatoreat.ru/purchases/announcement/d18d5104-9ac3-4df2-afcc-1c77634c4403/info
2026-09-07T11:38:00.124722+03:00,осталось 2 д 23 ч 39 мин,normal,1,2,6462e00b-5995-4fcc-b810-e378ad140c21,https://agregatoreat.ru/purchases/announcement/6462e00b-5995-4fcc-b810-e378ad140c21/info
2026-09-07T11:41:00.007663+03:00,осталось 2 д 23 ч 42 мин,normal,1,2,21fb6572-6332-4380-aa90-fc9cbcd8f6e2,https://agregatoreat.ru/purchases/announcement/21fb6572-6332-4380-aa90-fc9cbcd8f6e2/info
2026-09-07T11:41:00.754425+03:00,осталось 2 д 23 ч 42 мин,normal,2,2,77bd5c4e-bfb3-461a-8fd1-72180f66e539,https://agregatoreat.ru/purchases/announcement/77bd5c4e-bfb3-461a-8fd1-72180f66e539/info
2026-09-07T11:46:00.895376+03:00,осталось 2 д 23 ч 47 мин,normal,1,2,d16150d5-7db4-4447-947f-14503c2ad7b4,https://agregatoreat.ru/purchases/announcement/d16150d5-7db4-4447-947f-14503c2ad7b4/info
